이용일자,가맹점명,이용금액,카드번호,결제방법
2026-07-01,행복마트 3호점,"41,500",****-****-****-4821,일시불
2026-07-02,별빛카페 중앙점,"5,600",****-****-****-4821,일시불
2026-07-03,늘봄편의점,"4,100",****-****-****-4821,일시불
2026-07-04,새벽국밥,"9,500",****-****-****-4821,일시불
2026-07-05,파란주유소 동부점,"62,000",****-****-****-4821,일시불
2026-07-06,한빛약국,"7,200",****-****-****-4821,일시불
2026-07-07,하나로택시,"8,900",****-****-****-4821,일시불
2026-07-08,도담분식,"8,000",****-****-****-4821,일시불
2026-07-09,행복마트 3호점,"36,800",****-****-****-4821,일시불
2026-07-10,별빛카페 중앙점,"5,600",****-****-****-4821,일시불
2026-07-11,구름영화관,"12,000",****-****-****-4821,일시불
2026-07-12,민들레식당,"24,000",****-****-****-4821,일시불
2026-07-13,늘봄편의점,"3,700",****-****-****-4821,일시불
2026-07-14,푸른헬스클럽,"79,000",****-****-****-4821,일시불
2026-07-15,나래꽃집,"18,000",****-****-****-4821,일시불
2026-07-16,모아모아 정기구독,"13,900",****-****-****-4821,자동이체
2026-07-17,초록서점,"14,200",****-****-****-4821,일시불
2026-07-18,행복마트 3호점,"39,600",****-****-****-4821,일시불
2026-07-19,별빛카페 중앙점,"6,300",****-****-****-4821,일시불
2026-07-20,하나로택시,"10,400",****-****-****-4821,일시불
2026-07-21,늘봄편의점,"5,200",****-****-****-4821,일시불
2026-07-22,바른치과의원,"35,000",****-****-****-4821,할부 3개월
2026-07-23,들꽃문구,"6,100",****-****-****-4821,일시불
2026-07-24,행복마트 3호점,"39,000",****-****-****-4821,일시불
2026-07-25,별빛카페 중앙점,"4,800",****-****-****-4821,일시불
2026-07-26,미래통신 요금,"41,800",****-****-****-4821,자동이체
2026-07-27,민들레식당,"21,000",****-****-****-4821,일시불
2026-07-28,파란주유소 동부점,"55,000",****-****-****-4821,일시불
2026-07-29,늘봄편의점,"5,100",****-****-****-4821,일시불
2026-07-30,한빛약국,"6,300",****-****-****-4821,일시불
2026-07-31,다솜세탁소,"9,000",****-****-****-4821,일시불
2026-08-01,행복마트 3호점,"48,300",****-****-****-4821,일시불
2026-08-02,별빛카페 중앙점,"5,600",****-****-****-4821,일시불
2026-08-02,도담분식,"9,000",****-****-****-4821,일시불
2026-08-03,늘봄편의점,"3,200",****-****-****-4821,일시불
2026-08-04,파란주유소 동부점,"70,000",****-****-****-4821,일시불
2026-08-05,한빛약국,"12,400",****-****-****-4821,일시불
2026-08-06,미래통신 요금,"41,800",****-****-****-4821,자동이체
2026-08-07,초록서점,"22,500",****-****-****-4821,일시불
2026-08-08,별빛카페 중앙점,"6,100",****-****-****-4821,일시불
2026-08-09,행복마트 3호점,"31,700",****-****-****-4821,일시불
2026-08-10,바른치과의원,"85,000",****-****-****-4821,할부 3개월
2026-08-11,민들레식당,"14,000",****-****-****-4821,일시불
2026-08-12,하나로택시,"11,300",****-****-****-4821,일시불
2026-08-13,들꽃문구,"7,800",****-****-****-4821,일시불
2026-08-14,늘봄편의점,"4,500",****-****-****-4821,일시불
2026-08-15,구름영화관,"18,000",****-****-****-4821,일시불
2026-08-16,초록서점,"-22,500",****-****-****-4821,취소
2026-08-17,새벽국밥,"10,500",****-****-****-4821,일시불
2026-08-18,행복마트 3호점,"52,900",****-****-****-4821,일시불
2026-08-19,나래꽃집,"33,000",****-****-****-4821,일시불
2026-08-20,파란주유소 동부점,"65,000",****-****-****-4821,일시불
2026-08-21,별빛카페 중앙점,"5,600",****-****-****-4821,일시불
2026-08-22,푸른헬스클럽,"79,000",****-****-****-4821,일시불
2026-08-23,모아모아 정기구독,"13,900",****-****-****-4821,자동이체
2026-08-24,한빛약국,"8,700",****-****-****-4821,일시불
2026-08-25,오래된책방 온라인,"16,400",****-****-****-4821,일시불
2026-08-26,민들레식당,"28,000",****-****-****-4821,일시불
2026-08-27,늘봄편의점,"6,300",****-****-****-4821,일시불
2026-08-28,다솜세탁소,"18,000",****-****-****-4821,일시불
2026-08-29,하나로택시,"9,800",****-****-****-4821,일시불
2026-08-30,행복마트 3호점,"44,100",****-****-****-4821,일시불
2026-08-31,별빛카페 중앙점,"11,200",****-****-****-4821,일시불
